match_id,date,team_1,team_2,venue,winner,competition,is_world_cup
565820,2012-09-11,India,New Zealand,"MA Chidambaram Stadium, Chepauk",New Zealand,New Zealand in India T20I Series,False
566926,2013-06-25,England,New Zealand,Kennington Oval,New Zealand,New Zealand in England T20I Series,False
566937,2013-08-29,England,Australia,The Rose Bowl,Australia,Australia in England T20I Series,False
566938,2013-08-31,England,Australia,Riverside Ground,England,Australia in England T20I Series,False
567071,2012-07-18,Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Bangladesh,Bangladesh in Ireland T20I Series,False
567205,2012-07-25,Netherlands,Bangladesh,Sportpark Westvliet,Bangladesh,Bangladesh in Netherlands T20I Series,False
567353,2012-12-21,South Africa,New Zealand,Kingsmead,South Africa,New Zealand in South Africa T20I Series,False
567354,2012-12-23,South Africa,New Zealand,Buffalo Park,New Zealand,New Zealand in South Africa T20I Series,False
567355,2012-12-26,South Africa,New Zealand,St George's Park,South Africa,New Zealand in South Africa T20I Series,False
567367,2013-03-03,South Africa,Pakistan,SuperSport Park,Pakistan,Pakistan in South Africa T20I Series,False
569237,2013-02-09,New Zealand,England,Eden Park,England,England in New Zealand T20I Series,False
569238,2013-02-12,New Zealand,England,Seddon Park,New Zealand,England in New Zealand T20I Series,False
569239,2013-02-15,New Zealand,England,Westpac Stadium,England,England in New Zealand T20I Series,False
571148,2012-09-05,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,Pakistan v Australia T20I Series,False
571150,2012-09-10,Australia,Pakistan,Dubai International Cricket Stadium,Australia,Pakistan v Australia T20I Series,False
573019,2013-01-26,Australia,Sri Lanka,Stadium Australia,Sri Lanka,Sri Lanka in Australia T20I Series,False
573020,2013-01-28,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,Sri Lanka in Australia T20I Series,False
573027,2013-02-13,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,,False
573672,2012-07-26,Netherlands,Bangladesh,Sportpark Westvliet,Netherlands,Bangladesh in Netherlands T20I Series,False
587476,2012-12-10,Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,,False
589306,2012-12-25,India,Pakistan,M Chinnaswamy Stadium,Pakistan,Pakistan in India T20I Series,False
589307,2012-12-28,India,Pakistan,"Sardar Patel Stadium, Motera",India,Pakistan in India T20I Series,False
592268,2013-03-15,Canada,Kenya,ICC Global Cricket Academy,Canada,Canada v Kenya T20I Series,False
592269,2013-03-16,Canada,Kenya,ICC Global Cricket Academy,Kenya,Canada v Kenya T20I Series,False
592276,2013-04-20,Kenya,Netherlands,Wanderers Cricket Ground,Kenya,Twenty20 Quadrangular (in Namibia),False
593986,2013-03-02,West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",West Indies,Zimbabwe in West Indies T20I Series,False
593987,2013-03-03,West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",West Indies,Zimbabwe in West Indies T20I Series,False
602477,2013-03-31,Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Sri Lanka,,False
623571,2013-05-11,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,Bangladesh in Zimbabwe T20I Series,False
623572,2013-05-12,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,Bangladesh in Zimbabwe T20I Series,False
630951,2013-04-19,Kenya,Netherlands,Wanderers Cricket Ground,Kenya,,False
635658,2013-08-02,Sri Lanka,South Africa,R Premadasa Stadium,South Africa,South Africa in Sri Lanka T20I Series,False
635659,2013-08-04,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,South Africa in Sri Lanka T20I Series,False
635660,2013-08-06,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,South Africa in Sri Lanka T20I Series,False
636164,2014-01-29,Australia,England,Bellerive Oval,Australia,England in Australia T20I Series,False
636165,2014-01-31,Australia,England,Melbourne Cricket Ground,Australia,England in Australia T20I Series,False
636166,2014-02-02,Australia,England,Stadium Australia,Australia,England in Australia T20I Series,False
636536,2014-03-09,West Indies,England,"Kensington Oval, Bridgetown",West Indies,England in West Indies T20I Series,False
636537,2014-03-11,West Indies,England,"Kensington Oval, Bridgetown",West Indies,England in West Indies T20I Series,False
636538,2014-03-13,West Indies,England,"Kensington Oval, Bridgetown",England,England in West Indies T20I Series,False
645645,2013-07-27,West Indies,Pakistan,"Arnos Vale Ground, Kingstown",Pakistan,Pakistan in West Indies T20I Series,False
645647,2013-07-28,West Indies,Pakistan,"Arnos Vale Ground, Kingstown",Pakistan,Pakistan in West Indies T20I Series,False
647247,2013-10-10,India,Australia,Saurashtra Cricket Association Stadium,India,,False
648681,2014-03-12,South Africa,Australia,Kingsmead,Australia,Australia in South Africa T20I Series,False
648683,2014-03-14,South Africa,Australia,SuperSport Park,Australia,Australia in South Africa T20I Series,False
649101,2013-11-13,Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,Pakistan v South Africa T20I Series,False
649103,2013-11-15,Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,Pakistan v South Africa T20I Series,False
657633,2013-12-11,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,Pakistan v Sri Lanka T20I Series,False
657635,2013-12-13,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,Pakistan v Sri Lanka T20I Series,False
659545,2013-08-23,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,Pakistan in Zimbabwe T20I Series,False
659547,2013-08-24,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,Pakistan in Zimbabwe T20I Series,False
660113,2013-11-16,Canada,Ireland,Sheikh Zayed Stadium,Ireland,ICC World Twenty20 Qualifier,False
660149,2013-11-19,Kenya,Scotland,ICC Academy,Kenya,ICC World Twenty20 Qualifier,False
660173,2013-11-22,Netherlands,Scotland,ICC Academy,Scotland,ICC World Twenty20 Qualifier,False
660185,2013-11-23,Kenya,Netherlands,ICC Academy,Netherlands,ICC World Twenty20 Qualifier,False
660209,2013-11-26,Canada,Kenya,Sharjah Cricket Stadium,Kenya,ICC World Twenty20 Qualifier,False
660223,2013-11-28,Netherlands,Scotland,Sheikh Zayed Stadium,Netherlands,ICC World Twenty20 Qualifier,False
661695,2014-01-11,New Zealand,West Indies,Eden Park,New Zealand,West Indies in New Zealand T20I Series,False
661697,2014-01-15,New Zealand,West Indies,Westpac Stadium,New Zealand,West Indies in New Zealand T20I Series,False
667731,2014-09-07,England,India,Edgbaston,England,,False
667887,2014-05-20,England,Sri Lanka,Kennington Oval,Sri Lanka,,False
668959,2013-11-06,Bangladesh,New Zealand,Shere Bangla National Stadium,New Zealand,,False
668969,2013-11-21,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,New Zealand in Sri Lanka T20I Series,False
682899,2014-03-16,Hong Kong,Nepal,Zahur Ahmed Chowdhury Stadium,Nepal,World T20,False
682901,2014-03-17,Ireland,Zimbabwe,Sylhet Stadium,Ireland,World T20,False
682903,2014-03-17,Netherlands,United Arab Emirates,Sylhet Stadium,Netherlands,World T20,False
682907,2014-03-18,Bangladesh,Nepal,Zahur Ahmed Chowdhury Stadium,Bangladesh,World T20,False
682909,2014-03-19,Netherlands,Zimbabwe,Sylhet Stadium,Zimbabwe,World T20,False
682911,2014-03-19,Ireland,United Arab Emirates,Sylhet Stadium,Ireland,World T20,False
682915,2014-03-20,Bangladesh,Hong Kong,Zahur Ahmed Chowdhury Stadium,Hong Kong,World T20,False
682917,2014-03-21,United Arab Emirates,Zimbabwe,Sylhet Stadium,Zimbabwe,World T20,False
682919,2014-03-21,Ireland,Netherlands,Sylhet Stadium,Netherlands,World T20,False
682921,2014-03-21,India,Pakistan,Shere Bangla National Stadium,India,World T20,False
682923,2014-03-22,South Africa,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka,World T20,False
682925,2014-03-22,England,New Zealand,Zahur Ahmed Chowdhury Stadium,New Zealand,ICC Men's T20 World Cup,False
682927,2014-03-23,Australia,Pakistan,Shere Bangla National Stadium,Pakistan,World T20,False
682929,2014-03-23,India,West Indies,Shere Bangla National Stadium,India,World T20,False
682931,2014-03-24,New Zealand,South Africa,Zahur Ahmed Chowdhury Stadium,South Africa,World T20,False
682933,2014-03-24,Netherlands,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka,World T20,False
682935,2014-03-25,Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,World T20,False
682937,2014-03-27,Netherlands,South Africa,Zahur Ahmed Chowdhury Stadium,South Africa,World T20,False
682939,2014-03-27,England,Sri Lanka,Zahur Ahmed Chowdhury Stadium,England,World T20,False
682941,2014-03-28,Australia,West Indies,Shere Bangla National Stadium,West Indies,World T20,False
682943,2014-03-28,Bangladesh,India,Shere Bangla National Stadium,India,World T20,False
682945,2014-03-29,Netherlands,New Zealand,Zahur Ahmed Chowdhury Stadium,New Zealand,World T20,False
682947,2014-03-29,England,South Africa,Zahur Ahmed Chowdhury Stadium,South Africa,World T20,False
682949,2014-03-30,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,World T20,False
682951,2014-03-30,Australia,India,Shere Bangla National Stadium,India,World T20,False
682953,2014-03-31,England,Netherlands,Zahur Ahmed Chowdhury Stadium,Netherlands,World T20,False
682955,2014-03-31,New Zealand,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka,World T20,False
682957,2014-04-01,Bangladesh,Australia,Shere Bangla National Stadium,Australia,World T20,False
682959,2014-04-01,Pakistan,West Indies,Shere Bangla National Stadium,West Indies,World T20,False
682961,2014-04-03,Sri Lanka,West Indies,Shere Bangla National Stadium,Sri Lanka,World T20,False
682963,2014-04-04,India,South Africa,Shere Bangla National Stadium,India,World T20,False
682965,2014-04-06,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,World T20,False
685727,2013-11-20,South Africa,Pakistan,New Wanderers Stadium,South Africa,Pakistan in South Africa T20I Series,False
